title,link,saleprice,reviews
"Lenovo IdeaPad Slim 5 AMD Ryzen 5 5500U 15.6"" (39.63cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82LN00GTIN",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0472061ALRA5A4N9PFO&url=%2FLenovo-Keyboard-Fingerprint-Graphite-82LN00GTIN%2Fdp%2FB098FK9KQ2%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896583%26sr%3D8-37-spons%26psc%3D1&qualifier=1629896583&id=3487114363861888&widgetName=sp_btf,"57,990",4.2 out of 5 stars
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0312705OMZKYRU9U3R0&url=%2FHP-Laptop-15-6-inch-Windows-15s-fq2535TU%2Fdp%2FB08XNYN5QV%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896583%26sr%3D8-38-spons%26psc%3D1&qualifier=1629896583&id=3487114363861888&widgetName=sp_btf,"58,999",4.2 out of 5 stars
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6"" (39.63cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Windows 10/MS Office/Nvidia GeForce MX450/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG0148IN",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0545512G2PCAHKEAB5H&url=%2FLenovo-IdeaPad-Fingerprint-Graphite-82FG0148IN%2Fdp%2FB096SKBM59%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896588%26sr%3D8-33-spons%26psc%3D1&qualifier=1629896588&id=3716543711022709&widgetName=sp_atf_next,"72,797",4.2 out of 5 stars
"HP 14 11th Gen Intel Core i5 Processor 14-inch(35.6 cm) FHD Laptop (8GB/512GB/Windows 10/MS Office/Natural Silver/1.46Kg), 14s-dr2016tu",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A03126492WD7VIC4OPNI2&url=%2FHP-Processor-14-inch-Windows-14s-dr2016tu%2Fdp%2FB092MS22P1%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896588%26sr%3D8-34-spons%26psc%3D1&qualifier=1629896588&id=3716543711022709&widgetName=sp_atf_next,"58,490",4.2 out of 5 stars
"ASUS VivoBook Ultra K14 Intel Core i3-1115G4 14-inch FHD IPS Thin&Light Laptop(8GB RAM/512GB NVMe SSD/Win. 10/MSOffice H&S 2019/1 Yr.McAfee/Intel UHD Graphics/Black/1 Yr./1.4 kg),K413EA-EB302TS",/ASUS-VivoBook-i3-1115G4-Yr-McAfee-K413EA-EB302TS/dp/B09CNLKRCB/ref=sr_1_35?dchild=1&keywords=laptops&qid=1629896588&sr=8-35,0,0
Lenovo 82C700D4IH V15 ADA Laptop (AMD Athlon Silver 3050U/4GB Ram/ 1TB HDD/ 15.6 inch HD AG/ DOS/Integrated AMD Radeon Graphics/ Iron Grey),/Lenovo-82C700D4IH-Laptop-Integrated-Graphics/dp/B08DHT9JSK/ref=sr_1_36?dchild=1&keywords=laptops&qid=1629896588&sr=8-36,"29,500",3.3 out of 5 stars
"HP Pavilion Gaming 15.6-inch (39.62 cms) FHD Gaming Laptop (Ryzen 5-4600H/8GB/512GB SSD/Windows 10/144Hz/NVIDIA GTX 1650ti 4GB/Shadow Black), 15-ec1051AX",/HP-Pavilion-15-6-inch-5-4600H-15-ec1051AX/dp/B08CYTHY92/ref=sr_1_37?dchild=1&keywords=laptops&qid=1629896588&sr=8-37,"69,990",4.3 out of 5 stars
"AVITA Essential Refresh NE14A2INC44A-CR 14-inch/35.56 cm(Intel Celeron-N4020/4GB/256GB SSD/Windows 10 Home/FHD/Integrated Graphics), Concrete Grey",/AVITA-Essential-NE14A2INC44A-CR-Celeron-N4020-Integrated/dp/B08YRNVXN1/ref=sr_1_38?dchild=1&keywords=laptops&qid=1629896588&sr=8-38,"23,990",3.9 out of 5 stars
"Lenovo IdeaPad Slim 3 (2021)| 11th Gen Intel i3 14""FHD IPS Thin & Light Laptop 4side Narrow(8GB/512GB SSD/Win10/MS19/Backlit KB/Fingerprint Read/1.41Kg), 82H700K7IN + Lenovo Urban Laptop Sleeve 14""",/Lenovo-IdeaPad-Backlit-Fingerprint-82H700K7IN/dp/B09BJN8T2H/ref=sr_1_39?dchild=1&keywords=laptops&qid=1629896588&sr=8-39,"47,489",4.3 out of 5 stars
"Life Digital Laptop 15.6-inch (39.62 cms) (Intel Core i5/4GB RAM/256GB SSD/Type-C Data/Windows 10), ZED AIR CX5",/LifeDigital-Laptop-Intel%C2%AE-Storage-Windows/dp/B08HRK3CD9/ref=sr_1_40?dchild=1&keywords=laptops&qid=1629896588&sr=8-40,"29,990",3.3 out of 5 stars
"Dell Inspiron 15 (3501) 15.6"" (39.62cms) FHD Display, 10th Generation Intel Core i3, 8GB RAM, 1 TB HDD, Windows (R) 10 Home Single Language, English Microsoft (R) O&S 2019 (Black) (998-ENDP)",/Dell-Inspiron-Generation-Microsoft-998-ENDP/dp/B08NXRZJYR/ref=sr_1_41?dchild=1&keywords=laptops&qid=1629896588&sr=8-41,"41,120",3.6 out of 5 stars
"Avita Essential Refresh NE14A2INC43A-MW 14-inch/35.56 cm(Intel Celeron-N4020/4GB/128GB SSD/Windows 10 Home/FHD/Integrated Graphics), Matt White",/Essential-NE14A2INC43A-MW-Celeron-N4020-Integrated-Graphics/dp/B08YRKQ2MF/ref=sr_1_42?dchild=1&keywords=laptops&qid=1629896588&sr=8-42,0,0
"HP Pavilion (2021) Thin & Light 11th Gen Core i5 Laptop, 16 GB RAM, 512GB SSD, Iris Xe Graphics, 14-inch (35.56 cms) FHD Screen, Win 10, MS Office, Backlit Keyboard, Tranquil Pink (14-dv0055TU)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A03118131UB58SWG78IUL&url=%2FHP-Pavilion-Laptop-Graphics-14-dv0055TU%2Fdp%2FB0953DD9FC%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896588%26sr%3D8-43-spons%26psc%3D1&qualifier=1629896588&id=3716543711022709&widgetName=sp_mtf,"66,490",4.4 out of 5 stars
"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/512GB SSD/Win 10/MS Offce/Integrated Graphics/Natural Silver/1.69 Kg), 15s-fr2006TU",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A03142211XCWJQXKESOTT&url=%2FHP-Processor-39-62cms-Integrated-15s-fr2006TU%2Fdp%2FB08XNYH4LX%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896588%26sr%3D8-44-spons%26psc%3D1&qualifier=1629896588&id=3716543711022709&widgetName=sp_mtf,"44,890",4.1 out of 5 stars
